,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
SGL_RS01880,0.01853099688366,0.004177520175341,0.012565961405823,0.003273366006274,-0.007663088773917,0.027588227417753,0.01706469405696,-0.002625161815891,-0.001982641544107,-0.010582729706184,-0.006475263659214,0.049639657425589,0.010427683839124,0.015610354513419,0.00648022786184,-0.00441972481133,-0.013146004195235,0.007001378993152,-0.005551183084235,-0.010265214067634
SGL_RS01885,0.012388526765293,0.000411473173018,0.026040414492366,-0.01549590140801,-0.006385475635935,0.003450095392085,-0.013059861191961,0.005966130654598,0.009022285599059,0.007289819396102,-0.013365191452141,-0.00035431584357,0.003384856083911,-0.000143385875131,-0.006990473725526,-0.015075959869936,-0.006483986684539,-0.007330016303589,-0.005915484405362,0.013165699365728
SGL_RS01890,0.003088799632252,0.004016596831511,-0.005039726512609,-0.019179210194682,0.004616702389849,0.000775487640462,-0.012831427108372,0.015800180724811,0.005153756616126,0.006499575993491,-0.010491815814471,0.002676048195464,0.011296768541164,0.005684342920654,-0.009421012691745,0.008388043195826,-1.38962006055022E-05,-0.016452086136505,-0.007258641774252,-0.028318866209797
SGL_RS01895,0.001986708953419,0.01477439301086,0.021092321847509,-0.004359205610876,-0.003529328208036,0.012840758497286,0.006012345858696,0.005114488705035,0.013745410267342,-0.001120615736272,-0.014380488701995,-0.015820609048517,-0.01966415492434,-0.000824516169455,0.009423672202521,-0.006004195105645,0.012818383941389,0.017367414427988,-0.002462499568608,0.007200418440092
SGL_RS01900,-0.002661923455683,-0.002324155132627,0.008139559705348,-0.0060307356048,-0.007721927815818,0.004618846262112,-0.000997505154763,-0.002839379398709,0.018769510641445,-0.002107861140541,0.010517440903296,-0.00522407909748,-0.00301449231247,-0.004132309630367,0.000899243371611,-0.008214034836828,-0.016242452036763,0.013019779902593,0.000262693486584,-0.013296711802268
SGL_RS01905,-0.009246650398645,-0.004614196001112,0.016468559101292,-0.010911323585696,-0.016750259478268,0.001055695917259,0.000771186278178,-0.002810832776234,0.025286146954605,0.000434542271704,0.010162121388192,-0.002956071550614,-0.009994822950329,-0.008849925762019,0.007441529652599,0.010431021169878,-0.012720650847345,0.006979535579532,0.008928133279028,-0.02420425058459
SGL_RS01910,0.007569534573333,0.02529420489826,-0.001971469434775,-0.002815629235571,-0.000745012503564,0.013742433272494,0.019116096903527,0.009588653205159,0.020710178245455,0.000404768516658,-0.026179868173675,0.016636852891261,0.005255908888876,0.020182826231956,0.010405683297139,-0.026567785884935,0.015203994820887,0.10619932915727,0.006700592440055,-0.008470839596276
SGL_RS19400,-0.007122242206131,0.009039862191156,-0.004389822408874,0.008624089675243,0.006967654257614,0.039489694812838,0.014151840169387,-0.035332106832005,-0.017085597708762,-0.007698533904734,-0.003114557372538,-0.011065926915128,0.046109371396958,0.032737937806983,-0.013621560184532,-0.020472956736618,-0.014126895670425,0.035816595090758,-0.022388508738055,0.001222131626289
SGL_RS01915,-0.002869569866695,0.000914570377155,-0.001904607890457,0.000328332662403,-0.005133940062814,0.006386696777116,-0.001537322866971,0.002189041770623,0.006674786336585,-0.005063886967999,0.003960890614339,-0.016382886309542,0.003057763239743,-0.001050983490624,0.003752869473401,0.005612501695069,0.000601585635975,-0.008477991086598,-0.011553244727129,0.001631514433061
SGL_RS01920,-0.012205103402014,0.005604712126657,-0.0064823720854,0.005623519659271,0.000553968669513,0.013178189372596,-0.005107467106218,-0.002116965487699,-0.003083030290174,0.006265725322499,-0.003091675541947,-0.002144229762446,0.004268420552846,0.001110769496774,0.00904979876473,0.010980793575855,-0.00590146629063,0.005393431731208,-0.001776839574686,-0.001186136925425
SGL_RS01925,-0.011754459753603,0.017221920203896,-0.022247242888019,-0.018123366799785,0.012416399004188,-0.013171537200516,0.005223726244648,0.008075538802457,-0.01250230086126,0.003362683056993,-0.01205899369986,-0.007382933190611,0.010989355497358,-0.002799006481698,-0.000741617488734,-0.012859290489135,-0.002097544770923,-0.010787419421158,-0.001586255806891,-0.000431609823484
SGL_RS01930,-0.0208340904139,-0.003213065166354,0.009108613039035,-0.010154809295783,-0.002568297543774,0.000175454992383,0.003629447034622,-0.009052080444245,-0.007423542316854,0.085834127788087,-0.001481251113952,0.012006717478733,0.011231373974517,-0.014374889553017,-0.000167354105612,-0.0066573695687,0.009304259915272,-0.013979176362766,-0.001782643348451,0.022145718952217
SGL_RS01935,-0.024737106141034,-0.003220376776837,0.004711673809744,-0.010155064808464,0.005079912788897,-0.015060150316577,0.000273127992262,-0.006452279026179,-0.003078176049842,0.069739215388298,0.008932745414048,0.023918049106909,0.006714240095174,-0.002694871862825,-0.011380650013429,-0.014725468636649,-0.010149487082888,0.004110137509993,-0.012742979205502,0.015231982011383
SGL_RS01940,0.003188535970655,-0.018433656878939,0.003590985854848,0.006730550247711,-0.001649859125009,-0.009697059061074,0.019689639807095,0.009414442672279,-0.012987874106941,0.104333664850717,0.003204249426359,-0.010963926576968,0.016981450388225,-0.001618097216663,-0.003499916251214,-0.003370232582106,-0.003313033482692,-0.021497853375694,-0.001311901898764,-0.000450399503774
SGL_RS01945,-0.002403686065788,0.013683094786284,0.005169455589127,0.024177619089095,-0.012997318799222,-0.036279334566077,-0.003411448881668,0.046696234465944,-0.007277223667329,0.067657040320791,0.001207644603705,0.004248742462561,-0.001187278693163,0.001033922662868,-0.004047539689576,0.000693449958775,-0.005538752478907,0.007505212994302,-0.013929844140797,0.001839368371267
SGL_RS01950,0.017376327436851,-0.015496640301242,-0.002467372746254,0.010500853146755,-0.013693848064042,-0.012343497991012,-0.000347815499719,-0.00352943412785,0.009835625848564,0.058122135177755,-0.009736068381114,0.015766646572504,-0.005696224030593,0.015519698590554,-0.009614253182932,0.002891675746636,-0.001240662662334,-0.00822631769178,0.004502322542089,0.001239108771043
